state,stage,year,lat,lng,population,students,schools,students_per_school,students_per_1000_pop
Terengganu,primary,2022,5.06155940675606,103.21224081840644,337534,134557,352,382.26420454545456,398.64724738841124
Terengganu,secondary,2017,5.06155940675606,103.21224081840644,337534,103381,150,689.2066666666667,306.2832188757281
Terengganu,secondary,2018,5.06155940675606,103.21224081840644,337534,93671,151,620.3377483443709,277.5157465618279
Terengganu,secondary,2019,5.06155940675606,103.21224081840644,337534,92354,152,607.5921052631579,273.61391741276435
Terengganu,secondary,2020,5.06155940675606,103.21224081840644,337534,91970,152,605.0657894736842,272.4762542440169
Terengganu,secondary,2021,5.06155940675606,103.21224081840644,337534,94978,153,620.7712418300654,281.3879490658719
Terengganu,secondary,2022,5.06155940675606,103.21224081840644,337534,97169,154,630.9675324675325,287.87914698963664
W.p. Kuala Lumpur,primary,2017,3.1478,101.6953,8911000,126729,201,630.4925373134329,14.221636180002244
W.p. Kuala Lumpur,primary,2018,3.1478,101.6953,8911000,127633,194,657.9020618556701,14.323083828975424
W.p. Kuala Lumpur,primary,2019,3.1478,101.6953,8911000,130276,191,682.0732984293194,14.619683537201212
W.p. Kuala Lumpur,primary,2020,3.1478,101.6953,8911000,131465,191,688.2984293193717,14.753114128605095
W.p. Kuala Lumpur,primary,2021,3.1478,101.6953,8911000,133248,190,701.3052631578947,14.953203905285601
W.p. Kuala Lumpur,primary,2022,3.1478,101.6953,8911000,133531,188,710.2712765957447,14.984962406015036
W.p. Kuala Lumpur,secondary,2017,3.1478,101.6953,8911000,92648,103,899.495145631068,10.397037369543263
W.p. Kuala Lumpur,secondary,2018,3.1478,101.6953,8911000,86265,104,829.4711538461538,9.680731679946135
W.p. Kuala Lumpur,secondary,2019,3.1478,101.6953,8911000,84761,104,815.0096153846154,9.511951520592527
W.p. Kuala Lumpur,secondary,2020,3.1478,101.6953,8911000,84940,104,816.7307692307693,9.532039052856021
W.p. Kuala Lumpur,secondary,2021,3.1478,101.6953,8911000,86009,104,827.0096153846154,9.652003142183817
W.p. Kuala Lumpur,secondary,2022,3.1478,101.6953,8911000,86197,104,828.8173076923077,9.67310066210302
W.p. Labuan,primary,2017,5.3,115.22,95120,8769,17,515.8235294117648,92.18881412952061
W.p. Labuan,primary,2018,5.3,115.22,95120,9065,17,533.2352941176471,95.30067283431455
W.p. Labuan,primary,2019,5.3,115.22,95120,9393,17,552.5294117647059,98.74894869638351
W.p. Labuan,primary,2020,5.3,115.22,95120,9703,17,570.7647058823529,102.00798990748528
W.p. Labuan,primary,2021,5.3,115.22,95120,9864,17,580.2352941176471,103.70058873002523
W.p. Labuan,primary,2022,5.3,115.22,95120,9925,17,583.8235294117648,104.34188393608073
W.p. Labuan,secondary,2017,5.3,115.22,95120,6479,10,647.9,68.11396131202692
W.p. Labuan,secondary,2018,5.3,115.22,95120,5710,10,571,60.029436501261564
W.p. Labuan,secondary,2019,5.3,115.22,95120,5765,10,576.5,60.607653490328005
W.p. Labuan,secondary,2020,5.3,115.22,95120,5973,10,597.3,62.79436501261565
W.p. Labuan,secondary,2021,5.3,115.22,95120,6317,10,631.7,66.41084945332213
W.p. Labuan,secondary,2022,5.3,115.22,95120,6821,11,620.0909090909091,71.7094196804037
W.p. Putrajaya,primary,2017,2.93,101.69,67964,15097,14,1078.357142857143,222.13230533812018
W.p. Putrajaya,primary,2018,2.93,101.69,67964,16990,14,1213.5714285714287,249.98528632805602
W.p. Putrajaya,primary,2019,2.93,101.69,67964,18586,14,1327.5714285714287,273.4683067506327
W.p. Putrajaya,primary,2020,2.93,101.69,67964,20123,16,1257.6875,296.0832205285151
W.p. Putrajaya,primary,2021,2.93,101.69,67964,21590,16,1349.375,317.6681772703196
W.p. Putrajaya,primary,2022,2.93,101.69,67964,22503,16,1406.4375,331.1017597551645
W.p. Putrajaya,secondary,2017,2.93,101.69,67964,7787,11,707.9090909090909,114.57536342769701
W.p. Putrajaya,secondary,2018,2.93,101.69,67964,7828,11,711.6363636363636,115.1786239773998
W.p. Putrajaya,secondary,2019,2.93,101.69,67964,8465,11,769.5454545454545,124.55123300570891
W.p. Putrajaya,secondary,2020,2.93,101.69,67964,9209,11,837.1818181818181,135.49820493202284
W.p. Putrajaya,secondary,2021,2.93,101.69,67964,10334,11,939.4545454545455,152.05108586898947
W.p. Putrajaya,secondary,2022,2.93,101.69,67964,11436,11,1039.6363636363637,168.26555235124476
